id,task,framework,constraint,fold,type,result,metric,mode,version,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,r2,rmse,models_ensemble_count,acc,auc,balacc,logloss
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,4,multiclass,-0.618015,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:20,15033.4,14833.5,37.2,25,1353545788,,,,,19,0.926667,,0.926667,0.618015
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,5,multiclass,-0.657131,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:47,15042.0,14838.6,37.4,25,1353545789,,,,,19,0.913333,,0.913333,0.657131
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,6,multiclass,-0.666704,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:18,15023.7,14827.2,36.3,25,1353545790,,,,,19,0.893333,,0.893333,0.666704
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,7,multiclass,-0.793612,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:51,15037.0,14838.3,36.3,25,1353545791,,,,,19,0.88,,0.88,0.793612
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,8,multiclass,-0.718895,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:03:09,15043.2,14836.4,38.4,25,1353545792,,,,,19,0.926667,,0.926667,0.718895
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,9,multiclass,-0.724964,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:56,15026.3,14829.2,37.6,25,1353545793,,,,,19,0.9,,0.9,0.724964
openml.org/t/359979,Amazon_employee_access,AutoGluon_bq_v1,4h8c,0,binary,0.903206,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:18:25,14868.1,14406.1,37.6,99,1353545784,,,,,79,0.952701,0.903206,0.691774,0.136871
openml.org/t/359979,Amazon_employee_access,AutoGluon_bq_v1,4h8c,1,binary,0.896927,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:14:29,14656.0,14410.0,5.6,87,1353545785,,,,,13,0.956363,0.896927,0.698684,0.134876
openml.org/t/359979,Amazon_employee_access,AutoGluon_bq_v1,4h8c,2,binary,0.89548,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:19:09,14892.4,14409.6,38.3,105,1353545786,,,,,81,0.958193,0.89548,0.72344,0.13513
openml.org/t/359979,Amazon_employee_access,AutoGluon_bq_v1,4h8c,3,binary,0.904326,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:14:46,14649.6,14402.5,2.3,94,1353545787,,,,,9,0.955142,0.904326,0.647732,0.13416
openml.org/t/359979,Amazon_employee_access,AutoGluon_bq_v1,4h8c,4,binary,0.899192,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:14:55,14654.6,14409.8,3.1,94,1353545788,,,,,9,0.960024,0.899192,0.707125,0.128255
openml.org/t/359979,Amazon_employee_access,AutoGluon_bq_v1,4h8c,5,binary,0.900012,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:18:49,14877.5,14408.1,37.8,99,1353545789,,,,,78,0.953616,0.900012,0.696315,0.136916
